generation,ms,time
27,"[[14, 16, 19, 6, 10, 21, 7, 15, 20, 2, 1, 22, 18, 11, 13, 24, 12, 9, 3, 17, 5, 8, 4, 25, 23], [23, 25, 25, 25, 25, 24, 25, 25, 26, 25, 25, 24, 26, 25, 26, 25, 25, 26, 24, 25, 25, 25, 25, 25, 25]]",0.005001068115234375
80,"[[10, 18, 2, 24, 11, 5, 17, 19, 3, 21, 23, 14, 16, 4, 8, 7, 15, 22, 9, 12, 20, 1, 6, 25, 13], [26, 25, 25, 25, 25, 25, 25, 24, 24, 24, 25, 27, 25, 24, 25, 23, 25, 25, 26, 24, 25, 24, 25, 26, 25]]",0.00501704216003418
61,"[[22, 20, 3, 2, 18, 9, 1, 25, 23, 7, 16, 13, 8, 11, 17, 12, 10, 24, 15, 4, 6, 21, 5, 14, 19], [22, 24, 25, 26, 25, 24, 26, 24, 24, 25, 26, 25, 25, 27, 25, 25, 25, 25, 24, 24, 25, 25, 25, 25, 23]]",0.004999876022338867
56,"[[12, 8, 14, 25, 6, 5, 16, 18, 23, 3, 17, 15, 11, 9, 13, 10, 4, 20, 7, 24, 21, 22, 2, 1, 19], [25, 25, 25, 26, 24, 25, 25, 24, 25, 28, 25, 26, 25, 24, 25, 25, 22, 26, 25, 27, 24, 27, 28, 25, 25]]",0.001999378204345703
63,"[[10, 21, 15, 16, 3, 19, 9, 4, 13, 20, 6, 22, 24, 1, 12, 7, 2, 14, 17, 25, 23, 11, 8, 18, 5], [25, 25, 25, 25, 25, 26, 25, 26, 26, 23, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 25, 24, 24, 25, 24]]",0.003000020980834961
35,"[[20, 10, 15, 1, 19, 23, 11, 6, 18, 7, 2, 24, 9, 8, 22, 17, 16, 14, 13, 5, 3, 4, 21, 25, 12], [25, 25, 26, 24, 26, 25, 25, 25, 25, 27, 26, 25, 25, 25, 25, 26, 24, 25, 25, 26, 24, 24, 25, 26, 26]]",0.0019617080688476562
60,"[[14, 20, 10, 6, 15, 16, 2, 17, 8, 22, 19, 18, 11, 5, 12, 9, 24, 4, 25, 3, 7, 1, 23, 21, 13], [24, 26, 25, 25, 25, 25, 25, 22, 22, 25, 24, 24, 25, 26, 25, 25, 26, 23, 26, 24, 28, 24, 25, 26, 25]]",0.0030007362365722656
81,"[[12, 25, 9, 14, 5, 20, 8, 3, 15, 19, 6, 4, 13, 24, 18, 16, 21, 17, 10, 1, 11, 7, 23, 2, 22], [24, 26, 25, 25, 26, 25, 26, 23, 26, 25, 24, 25, 26, 25, 25, 26, 25, 24, 23, 24, 24, 23, 24, 26, 27]]",0.0039980411529541016
63,"[[7, 25, 3, 11, 19, 23, 13, 4, 1, 24, 9, 12, 22, 20, 2, 8, 5, 21, 17, 14, 18, 10, 15, 16, 6], [25, 25, 25, 26, 22, 25, 24, 23, 25, 25, 26, 24, 25, 25, 26, 25, 25, 27, 25, 25, 24, 25, 24, 25, 25]]",0.002997875213623047
99,"[[19, 2, 12, 21, 11, 22, 6, 9, 15, 13, 3, 25, 14, 18, 5, 4, 8, 23, 10, 20, 17, 24, 7, 1, 16], [25, 24, 26, 26, 25, 24, 25, 26, 25, 25, 24, 30, 27, 24, 24, 25, 25, 27, 26, 23, 27, 25, 25, 23, 24]]",0.003000497817993164
94,"[[23, 19, 12, 9, 2, 1, 7, 11, 21, 25, 15, 16, 17, 13, 4, 6, 5, 22, 8, 24, 20, 18, 3, 14, 10], [26, 23, 23, 25, 25, 27, 25, 25, 26, 25, 25, 24, 24, 25, 26, 26, 25, 30, 27, 26, 26, 20, 25, 25, 23]]",0.0039997100830078125
49,"[[7, 6, 8, 19, 25, 9, 23, 22, 10, 1, 18, 13, 17, 5, 12, 20, 2, 4, 15, 24, 11, 21, 14, 16, 3], [25, 26, 27, 27, 25, 25, 25, 25, 25, 25, 25, 27, 25, 24, 23, 25, 25, 27, 25, 25, 25, 27, 26, 24, 25]]",0.003000974655151367
140,"[[17, 4, 12, 11, 21, 2, 14, 24, 6, 19, 23, 9, 1, 25, 7, 8, 22, 10, 20, 5, 15, 16, 18, 3, 13], [27, 25, 25, 24, 25, 25, 24, 26, 23, 21, 25, 23, 26, 26, 28, 23, 25, 24, 23, 23, 26, 24, 25, 23, 25]]",0.0030057430267333984
100,"[[7, 25, 19, 5, 9, 22, 3, 16, 14, 10, 4, 13, 12, 21, 15, 8, 6, 17, 23, 11, 24, 18, 1, 2, 20], [25, 25, 25, 25, 24, 25, 25, 25, 25, 25, 25, 25, 26, 25, 26, 25, 25, 25, 25, 24, 22, 25, 25, 28, 25]]",0.0029993057250976562
55,"[[25, 14, 8, 6, 12, 20, 5, 15, 3, 22, 10, 2, 18, 19, 16, 1, 23, 17, 13, 11, 9, 21, 7, 24, 4], [25, 25, 25, 25, 25, 26, 23, 25, 25, 25, 25, 25, 24, 25, 25, 24, 25, 25, 24, 25, 24, 25, 26, 25, 25]]",0.0030012130737304688
93,"[[19, 25, 9, 1, 11, 3, 7, 17, 14, 24, 2, 23, 13, 12, 15, 20, 6, 18, 16, 5, 21, 4, 8, 22, 10], [26, 25, 25, 24, 25, 25, 25, 26, 25, 24, 25, 23, 26, 25, 24, 25, 25, 24, 23, 25, 23, 25, 25, 25, 24]]",0.005001068115234375
97,"[[7, 22, 25, 6, 5, 3, 20, 2, 16, 24, 15, 10, 13, 9, 18, 21, 12, 17, 11, 4, 19, 1, 8, 23, 14], [25, 24, 28, 25, 24, 23, 27, 25, 27, 25, 24, 24, 24, 24, 25, 25, 24, 26, 25, 25, 24, 26, 25, 25, 25]]",0.0039751529693603516
38,"[[10, 16, 5, 21, 13, 3, 25, 17, 18, 2, 9, 19, 7, 6, 24, 20, 4, 22, 8, 11, 23, 1, 14, 12, 15], [24, 26, 25, 27, 25, 24, 25, 28, 25, 25, 24, 25, 25, 27, 24, 25, 25, 24, 23, 25, 26, 25, 24, 25, 25]]",0.005000114440917969
116,"[[25, 1, 2, 22, 15, 3, 16, 21, 6, 19, 5, 24, 8, 18, 10, 9, 13, 14, 12, 17, 23, 11, 20, 7, 4], [19, 26, 25, 26, 25, 25, 25, 28, 23, 25, 25, 27, 25, 26, 26, 26, 26, 26, 26, 25, 24, 25, 25, 26, 27]]",0.003000497817993164
123,"[[21, 7, 20, 6, 11, 1, 12, 3, 24, 25, 16, 23, 8, 4, 14, 10, 5, 15, 22, 13, 17, 18, 19, 9, 2], [23, 26, 24, 25, 24, 24, 25, 26, 25, 26, 25, 27, 25, 26, 25, 25, 25, 24, 25, 25, 25, 23, 25, 26, 28]]",0.003000974655151367
57,"[[12, 17, 18, 13, 5, 3, 19, 14, 25, 4, 9, 16, 8, 10, 22, 20, 6, 1, 15, 23, 21, 7, 24, 2, 11], [27, 25, 27, 25, 24, 25, 24, 25, 26, 25, 25, 23, 24, 25, 25, 25, 25, 25, 25, 25, 25, 27, 25, 25, 25]]",0.0030050277709960938
89,"[[12, 11, 14, 4, 24, 18, 17, 5, 9, 16, 3, 6, 15, 19, 22, 25, 10, 8, 20, 2, 7, 21, 23, 13, 1], [25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 27, 25, 27, 25, 25, 25, 25, 26, 22, 25, 26, 26, 27, 25, 25]]",0.002980470657348633
